h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1.3e-05,0.0,0.043077253,0.306579423,0.45863236,0.480795034,0.398226244,0.464320738,0.474852362,0.480813356,0.481819343,0.481819343,0.481819343,0.365413487,0.554309092,0.825832716,0.862220263,0.998887595,1.0,1.0,0.987921111,0.403654901,0.481402369
0.0,0.000182786,0.070300833,0.337305264,0.471514701,0.476738258,0.47703695,0.478665003,0.477718347,0.479014897,0.480764422,0.472890063,0.40136283,0.38549709,0.696699125,0.832241179,0.999980543,1.0,1.0,0.996568068,0.718358497,0.316680319,0.131039065
0.465080434,0.226639145,0.180682136,0.177559297,0.176816055,0.0,0.569240131,0.529099816,0.577024077,0.574697589,0.575856969,0.574956586,0.574156751,0.57609806,0.788551766,0.862443384,0.997743017,0.997746073,0.999867592,1.0,1.0,1.0,1.0
0.172944334,0.177096724,0.240295916,0.466097287,0.575581117,0.664624632,0.621608102,0.71870282,0.747496632,0.789076113,0.861493668,0.801977222,0.573647331,0.628411751,0.862443384,1.0,0.99936019,0.920837058,0.862443384,0.742926269,0.53084779,0.484248125,0.0
0.013259266,0.011734068,0.074917175,0.334623396,0.482466397,0.485853299,0.484902056,0.475944882,0.483440983,0.481498633,0.470110447,0.483831827,0.454086663,0.478784777,0.785790667,0.996539761,1.0,1.0,0.999842546,0.695628685,0.329589581,0.141355123,0.0
0.0,0.000928694,0.068813484,0.338152346,0.465299121,0.483688426,0.480449644,0.453639064,0.470577107,0.481427072,0.480975256,0.387325177,0.482229827,0.351672132,0.570940666,0.817654712,0.999980674,1.0,1.0,1.0,0.948352259,0.433065215,0.377363703
0.180652877,0.17961119,0.215513415,0.431221692,0.560331047,0.574086536,0.507162106,0.574962256,0.574962256,0.571643161,0.574962256,0.574962256,0.574962256,0.500492407,0.717676889,0.880719093,1.0,1.0,1.0,0.996997228,0.666589563,0.431221692,0.0
0.011123882,0.010476928,0.091583062,0.412114195,0.481716537,0.488836781,0.469054249,0.480199707,0.475045932,0.451348828,0.470312201,0.489157337,0.477206275,0.478211228,0.796294034,0.999991612,1.0,0.987556703,0.744305585,0.464342317,0.317293995,0.139459474,0.0
0.178329426,0.174958767,0.269537942,0.546264167,0.638859628,0.718743944,0.597614125,0.567735674,0.569504944,0.573553301,0.575771315,0.571976472,0.573022119,0.600562148,0.86244592,1.0,1.0,1.0,0.999999337,0.822112808,0.439961598,0.0,0.22335132
0.180312229,0.178672535,0.259419903,0.521815667,0.727932474,0.754510461,0.558218229,0.575213635,0.572850123,0.565512313,0.568885941,0.573311327,0.571509835,0.725666995,0.863329179,1.0,1.0,1.0,1.0,0.783910409,0.467944139,0.0,0.223820761
0.180945769,0.180422865,0.228300254,0.464348731,0.564198776,0.575163723,0.574549288,0.567782296,0.557605261,0.567631097,0.570537822,0.553341676,0.573874008,0.507136703,0.782599,0.94548391,1.0,1.0,1.0,1.0,0.810506252,0.478914578,0.0
0.001551352,0.0,0.076573098,0.369235937,0.464180848,0.471777234,0.475626033,0.473426796,0.47795551,0.477668711,0.474061389,0.469165801,0.407443662,0.402512639,0.732091855,0.954233544,1.0,1.0,1.0,1.0,1.0,0.745180689,0.36404773
0.180304245,0.180019426,0.251483919,0.491498305,0.572425893,0.569032809,0.56551383,0.574289098,0.571433592,0.574087119,0.575816432,0.565971905,0.565952011,0.54200296,0.787301343,0.947594102,1.0,1.0,1.0,0.998649504,0.657820834,0.50381634,0.0
0.172252345,0.181293937,0.185275527,0.0,0.467054317,0.570807607,0.573547886,0.528301042,0.571205261,0.574962256,0.529756291,0.548434464,0.574962256,0.49789692,0.634994959,0.841852513,0.997625998,1.0,1.0,1.0,1.0,1.0,0.995883125
0.18099954,0.179382841,0.255146255,0.4979794,0.570547863,0.572334931,0.575869687,0.573786903,0.568613667,0.566362444,0.57004032,0.571208749,0.516092939,0.498962506,0.782220148,0.926586185,0.999994921,1.0,1.0,0.996363151,0.704785337,0.0,0.287322154
0.871093543,0.289834159,0.187096188,0.179264059,0.164285825,0.289834159,0.463779881,0.583493542,0.720807195,0.724585397,0.683877253,0.591888551,0.573504085,0.576036722,0.787551031,0.99879781,1.0,0.869502476,0.754855113,0.590172857,0.499037484,0.0,0.245744547
0.000968414,0.0,0.080383566,0.361481082,0.470731734,0.477348384,0.480294652,0.475940135,0.478011152,0.477796499,0.476258502,0.470722283,0.478097409,0.648159838,0.773394245,0.832192974,0.999321991,1.0,1.0,0.946406177,0.742986939,0.306140274,0.130789374
0.169939453,0.181833453,0.178242436,0.15819956,0.254390018,0.0,0.431221692,0.55755487,0.566496908,0.574295152,0.584744266,0.572127657,0.600552255,0.72007071,0.830682703,0.989683093,0.997564677,0.993439551,0.999557445,0.999679325,1.0,0.992376834,0.817099507
0.007726802,0.00395622,0.117964221,0.486632043,0.735118317,0.711916715,0.459377261,0.479483552,0.48334174,0.484312605,0.485116114,0.481468915,0.478864141,0.576781239,0.833820014,1.0,1.0,1.0,0.980685404,0.570707943,0.359925796,0.136526645,0.0
0.180574562,0.179892509,0.256693593,0.525186414,0.685648935,0.71870282,0.572358174,0.575399752,0.577942536,0.576813955,0.574678851,0.569854971,0.571033393,0.616397234,0.859864441,0.999388814,1.0,1.0,1.0,0.771960941,0.467240544,0.0,0.287481128
